"icontitle","description"
"过街设施","公交太少了，出行不方便 只能靠黑车"
"占道停车","大量违规停车在这边，影响交通。"
"安全步行空间","天天堵车堵的水泄不通。"
"过街设施","太乱了希望可以改善谢谢"
"过街设施","十字路口，车流量大。假如有过街天桥或地下通道，学生上学放学安全更有保障。"
"占道停车","学校门前道路交通乱，汽车占道停放，自行车随意码放，接孩子时造成道路拥堵"
"安全步行空间","共享单车乱停乱放希望可以改善"
"安全步行空间","学校门口紧邻马路，每天放学家长拥堵在门口，占据了正常的人行道。接孩子的车辆停放在马路边，造成道路拥堵。有的孩子自己骑车回家，容易碰撞行人或过往车辆，大大增加了安全隐患。建议放学期间增设保安及交通协管，学校附近增设临时停车场。"
"占道停车","有些车乱停希望可以改善"
"车辆超速","车开的太快了跟开飞机似的
"
"过街设施","十二中路口建议安装红绿灯"
"安全步行空间","路口往南100米左右，城铁下豁口希望封好，总有人横穿马路，太危险"
"占道停车","学校道路两边停放的车辆太多了，孩子上学经常拥堵！撞车。有时能撞到学生。我说的是实验二小这边，尤其是红绿灯下转弯处，道路本来就窄，再加上有些人把车就停在马路中间占道，马路两边也都是停放的车，接送孩子就是个问题。"
"占道停车","该路为单行道，路宽6米左右，且两边长期停放车辆，就剩中间一条路了，右临丰台医院，后面是丰台一小，一到上下学路边就停满了各种车辆、三轮、电动车等，严重影响了道路通行，请相关部门重视一下，两边停车拟收费模式，解决车辆乱放，道路畅通问题，谢谢！"
"过街设施","占道停车特别多。孩子上下学。非常不安全。大悦城门口的红绿灯边车多人多。需要安全疏导员。"
"安全步行空间","实验二小接送孩子的行人辅路盲道等路线乱停放车辆太多，把道路都占满了。希望有关部门处理下。"
"占道停车","停车位不充足，早上送孩子，路上哪哪都是车，自行车都要下车推着走！"
"车辆超速","接送孩子上学了的路上，电动车，快递车，速度太快！"
"安全步行空间","路口四面的步行的指示灯早高风时有时变得特别快，有时从70多秒的显示一下就变红灯，让许多人摸不着规律。四面的车人有时都堵在路中间，无法通行，很危险。周围有四五所中小学校，许多孩子都需要过马路，步行的骑车的很多，但也有的时候通行时间安排的比较合理，不会拥堵，不知这个路口的通行控制灯为什么总变。"
"过街设施","学校门口没有过街通道，周末都是小孩子要绕很远很远，希望增加过街通道"
"安全步行空间","停车太费劲，总拍照，没有接孩子停车的便利场地"
"车辆超速","总有跑车炸街 影响休息 容易造成交通危害"
"自定义","没有地铁 交通不方便 交通落后 路费昂贵"
"过街设施","到冬天雾霾比较严重，应该多加几个路灯"
"过街设施","冬天雾霾比较严重，为了保证学生安全，应该多加几个路灯"
"占道停车","乱停乱放 许多车辆占用公交车站点 严重影响公共交通"
"过街设施","冬天雾霾比较大，为了保证学生安全，应该多加几个路灯"
"过街设施","科德学院到马路对面增加斑马线"
"照明与监控","晚上照明设施不足 晚间出行容易造成危险"
"自定义","送孩子上学路途中红绿灯太多，等待时间过久。如果有效改善一下就不至于总迟到了
"
"安全步行空间","希望学校可以将步行街道加宽，现在有点狭窄"
"占道停车","道都被车占了，不好走，希望规范停车"
"占道停车","车多路窄经常堵，路面不平到处坑，卫生差，路面脏，栅栏破损，大车占道，行人走路危险，非常不方便"
"过街设施","没有红绿灯的监控摄像头，有汽车创红灯的。"
"占道停车","学校周边常年占道停车！开始是一侧停车。现在是两侧停车！家长接送孩子人车混行太危险。骑车没地方躲。"
"照明与监控","独栋楼 院里黑 希望安路灯 及监控 "
"过街设施","希望增加人行横道和红绿灯"
"占道停车","路边占道停车，每天早上都造成拥堵，很多都说送孩子的，太乱了，自行车过去都费劲"
"照明与监控","我家这里道路两旁都是参天大树，虽然有路灯，但都被树遮挡住了，夏天还好说，冬天天黑的早，这条路就显得很黑，希望有关部门能采取调整路灯高度或增设路灯或修剪大树，避免遮挡路灯的方法来解决这条道路的照明问题"
"占道停车","每天放学就会有大量的车辆占满道路，可以维持半个小时左右，危险系数很高。"
"占道停车","林大北路路边有自行车的隔离带，结果很多汽车停在隔离带外面，就给机动车留下仅够一个车身通过的地方"
"过街设施","这个大十字路口西向北方向的灯总是比东向南转弯方向的灯慢十秒左右，希望能调成一致。因为和一般认知不一致，很容易引起闯红灯，从而导致事故！"
"过街设施","这个地方桥下车辆由南向北行驶时容易走到右侧逆向车道中，希望地面和空中增加交通标识，帮助汽车认清道路。另外，本段道路经常有收废品车辆占道，喜欢监管部门能将他们妥善安置"
"安全步行空间","地下通道在修 过马路无人行道 无红绿灯"
"照明与监控","这段路路面凸凹不平，而且经常有玻璃石子之类的物体散落在地面上，且缺乏照明设施，容易引起事故。建议整修道路，增加照明设施，并增加道路清洁频率。"
"照明与监控","这儿的喷泉附近缺乏照明，而且喷泉周围有一小圈凸起挡水的部分，不容易察觉。上周骑车经过时就摔了一跤。"
"占道停车","小区里在一些狭窄的拐弯位置也设置了停车位，非常影响司机视角，容易引发事故，而且容易发生剐蹭和堵车。建议去掉小区道路旁的一些汽车停车位，改为自行车电动车停车位。然后把小区东边的自行车停车位改为汽车停车位。"
"安全步行空间","孩子们上下学高峰，增设步行空间"
"自定义","近几个月无数大型渣土车都改道走田村北路，路南边全是居民区，北边是公园和幼儿园，人口密度相当大，由于没有监控设施，渣土车在这条路上肆意闯红灯，超速驾驶，平均5分钟一辆的频率，严重扰乱了周围居民的生活，最近以这为中心周围已经发生了渣土车造成的4死一伤事故，居民们惶惶不可终日，连过马路都成了高风险行为。"
"自定义","车辆行驶速度较快，抢道现象严重，存在安全隐患"
"占道停车","小区内部道路任意停车，堵塞消防通道"
"安全步行空间","行车占道问题严重，学生上下学很不安全，红绿灯人多车多"
"自定义","孩子上下学非常不安全，占道停车很多，红绿灯边车多人多。需要安全疏导维护交通秩序"
"自定义","孩子上下学不安全，占道停车很多，红绿灯边车多人多，需要安全疏导，维护交通秩序"
"过街设施","提高新建和改造人行街道的设计等级，市政和通信井盖也应配套使用相应等级的井盖，多增加一些健身设施"
"占道停车","改善占道停车，提供通畅道路"
"占道停车","希望路边不要停太多来车。"
"照明与监控","路灯不开，周边小学，幼儿园居多"
"安全步行空间","这所学校校门口的道路窄小，还总有车辆穿行，孩子上下学非常不安全。学校附近的路况照明也不是很好。"
"安全步行空间","环境不错，挺好的，继续努力"
"占道停车","学生上下学人流量比较大，建议车辆尽量少占道停车，影响行人正常行走。"
"占道停车","车辆占道问题严重，严重影响孩子的出行安全，红绿灯人多车多，对孩子的安全问题没有保障"
"自定义","应注意公共设施和卫生的管理"
"安全步行空间","上下学期间，安全步行空间小，道路交通拥堵"
"过街设施","安装红绿灯学校路口，更安全"
"过街设施","这里车辆比较多，而且学校周围小区也比较多，上下学人流量也比较大，减速带应该多安装几个，还有交通疏导员也要多派出几名，"
"照明与监控","路灯亮度稍低垃圾较多"
"占道停车","占道停车这个现象希望可以多多缓解"
"占道停车","挨着四环路，希望学校门口改门，不要在马路边上，每天上下学堵的要死。"
"占道停车","路边随便停车占用自行车道，造成交通堵塞"
"占道停车","马路边机动车占道现象普遍，形成走路特别不方便也不安全"
"安全步行空间","安全步行空间小，要加大安全步行空间。"
"车辆超速","此处为学校区域，应严格监控车速，保证学生安全。"
"过街设施","开车太快，地面不是很干净"
"占道停车","限速行驶 为居民着想"
"过街设施","人流较大 建议完善行人步行路线 红绿灯时间略长"
"安全步行空间","马路宽，绿灯时间短，孩子脚步慢。需要交警注意孩子过马路时的安全"
"过街设施","社区人流较多并且有好多老人去幼儿园接送学生，建议完善行人步行街道， 整改红绿灯时间"
"占道停车","占道停车希望可以了解一下"
"自定义","东赵村幼儿园，接送孩子上幼儿园不方便，道路本身就不宽敞，路边还停放很多车辆，每天接孩子这段路都挺拥挤的，希望汽车在接送孩子的时间绕行一下。"
"安全步行空间","增加步行空间，保障安全"
"自定义","改善交通拥挤，车辆停放在指定区"
"占道停车","加监控，让交警多巡逻"
"占道停车","占道停车现象太多希望多改善"
"占道停车","增加一些停车位，禁止占到占道停车"
"自定义","路上车太多，超堵，建议红灯变换快点。"
"过街设施","路上车太赌建议红灯变快点。"
"照明与监控","照明设施再完善一点就更好了"
"占道停车","占道停车现象太多，需要改善"
"过街设施","学校路段禁止鸣笛，注意学生安全。"
"占道停车","街道旁边占道停车需要管理一下"
"安全步行空间","步行空间大一点，确保安全第一，谢谢"
"过街设施","道路设施不齐全车位少。"
"占道停车","占道停车下线太麻烦。"
"占道停车","交通拥挤，车辆占地严重"
"占道停车","道路停车混乱。影响学生上下学安全。"
"自定义","多增加停车位，别的都还好"
"过街设施","路况不好，注意学生安全感都没有。。。。"
"占道停车","车辆很多，学生也很多，没有秩序，很堵"
"过街设施","小学生过马路太不安全，有个别司机总是不注意行人，建议有人指挥一下交通"
"自定义","放学时间点车流量过大，道路堵塞，应该多增加交警疏通道路"
"过街设施","完善设施过街的设施，使标志牌更加突出醒目，保证安全"
"过街设施","学校放学后，接孩子的多，车多，乱停乱放，堵啊，孩子行走安全方面也需要志愿者协助指引安全！"
"占道停车","占道停车严重，希望有关部门监管一下。"
"车辆超速","汽车行驶速度过快，建议减速慢行。"
"过街设施","安全学生路段注意安全安全。。。。。"
"安全步行空间","车辆请减速慢行
请勿紧急刹车"
"过街设施","学生路段，请减速，勿鸣笛"
"安全步行空间","车很多，而且普遍车速过快，很危险。"
"过街设施","学校路段静止鸣笛
挺好"
"自定义","交通有些拥堵 希望能够改善"
"安全步行空间","建议这里有专人加强管理，确保旅游人观赏"
"安全步行空间","上下学高峰期增加交警，进行安全指挥，使学生安全步行空间增大"
"安全步行空间","整体还算可以的，已经有改善了"
"自定义","一到接孩子时间就很堵，路面卫生很差"
"占道停车","增加交警指挥交通，设置临时停车位，减少接送孩子占到停车现象"
"照明与监控","增加监控设施。监督来往车辆"
"占道停车","学生放学时学生很多，车辆也很多，很拥挤，堵车很严重"
"占道停车","小区对面三小早晚上学高峰期乱停车 经常堵车."
"自定义","学生上下学安全问题 。
安排指挥员"
"占道停车","违停严重，应增设行人标识"
"自定义","学生上学放学注意安全 行车减速慢行"
"自定义","学生上下学注意安全 行车减速慢行"
"自定义","学生上下学注意安全 行车减速慢行"
"安全步行空间","学生上学放学太危险希望关注"
"自定义","每次送孩子上学放学都特别拥挤 希望有所改善"
"自定义","多来一些警察在学校门口维持秩序"
"自定义","有些家长车速太快，希望在学校周边立上限速标志。"
"安全步行空间","车速过快，学校附近本身学生就多，学生安全没有保障，希望在学校周边立上限速标识"
"安全步行空间","学校周边乱停车现象严重，设立专属停车区域，"
"占道停车","这附近多设置停车场，车越来越多占道停车非常严重，这样特别影响行人走路的安全"
"照明与监控","学校附近应该多一些照明工具和监控等设施保证学生们都安安全全的回家"
"照明与监控","辅路没有照明，窄处坑洼路段容易受伤，"
"过街设施","出门不   方便面宏观经济江湖救急"
"过街设施","学校附近禁止鸣笛，谢谢合作"
"过街设施","关于交通拥挤，是真的，等不到公交车，很难打车"
"安全步行空间","步行区域小，车辆占用步行道路 管理设施和人员需要加强管理，建议严加管理"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"安全步行空间","马路杀手太多，不好过人"
"过街设施","应加设红绿灯等交通设备以此更好地保障交通安全。"
"过街设施","丰台区刘家窑建邦华府骏苑"
"过街设施"," 占道停车没有专门停车地方车辆乱停，特麻烦。"
"安全步行空间","行人过道空间少，周围乱停车不方便。"
"照明与监控"," 路灯设施不够完善。希望能有所改进。"
"车辆超速","车辆来的太快，学生不安全"
"照明与监控","希望学校家长等候区可以安装监控系统"
"过街设施","车辆过多，对孩子安全没有保障，应设有保障人员"
"照明与监控","希望在家长等候区可以安装一些监控系统"
"车辆超速","有些家长的车速过快。希望在学校附近增加限速标识"
"过街设施","车辆注意行人 尤其带孩子的 要礼让行人"
"照明与监控","没有人行的红绿灯真的很危险"
"过街设施","学校安排护送孩子过马路"
"自定义","各位宝爸宝妈，大家好。这是一份学安全上学路的调查。调查目的是为了排查现有的学校周围交通设施、占道情况、车辆超速控制、过街设施、照明设施等内容。目标区域是丰台、海淀、东城、西城、朝阳。整个调查意见是为学校周边交通整治方案做参考。有劳大家根据自己孩子学校附近的情况给予宝贵的建议。谢谢大家。识"
"安全步行空间","上下学期间，道路拥堵"
"占道停车","占道情况需要大大的管理一下"
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控"," 希望学校家长等候区可以安装监控系统"
"照明与监控","希望学校家长等候区可以安装监控系统"
"过街设施","车辆排满街，孩子怎么可能有保证呢"
"过街设施","车辆排满街，孩子安全怎么可能有保证"
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控","嗯， 希望学校家长等候区可以安装监控系统"
"照明与监控","建议城市减少雾霾，对居民身体损害严重，物价，房价太高，居，工资太低，居民压力太大。"
"照明与监控","物价房价太高，居民买房，生活压力过大。环境污染，雾霾严重，上级该重视百姓的生活质量。"
"照明与监控","照明不是很完善，监控也有盲区。建议可以改进一下。"
"占道停车","影响行人，道路堵塞，占用非机动车路。"
"占道停车","乱停车太多，导致路面狭窄"
"过街设施","多过设施少鸣笛减速，，，，"
"过街设施","完善交通标志、安装电子抓拍系统。"
"安全步行空间","本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间"
"过街设施","堵车严重，人行道太窄了"
"过街设施","就近增加过街天桥，希望有关部门能够反应"
"安全步行空间","等候区太狭窄，需要增加空间"
"占道停车","学校门外没有专属停车区域，停车特别麻烦"
"车辆超速","有些家长车速太快，希望路边设置限速标识"
"照明与监控","希望学生家长等候区可以安装监控"
"安全步行空间","安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"占道停车","学校门外没有专属停车区域，很多车辆乱停特别麻烦"
"占道停车","学校门外没有专属停车区域，很多车辆乱停特别麻烦
"
"过街设施","环境好，设施完备，可以在一定程度上增加环境和休息设施"
"过街设施","总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 "
"照明与监控","希望学校家长等候区可以安装监控系统"
"过街设施","希望有关部门增加天桥"
"安全步行空间","太狭窄需要增加步行空间"
"过街设施"," 过街设施
     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
"
"占道停车","建立专属停车区，学校附近没有停车区"
"车辆超速","家长车速太快，立上限速标识"
"照明与监控","希望学校家长等候区安装监控"
"过街设施","环境优美。
建议可以增加一些休息和环境设施"
"照明与监控","需要完善照明与监控设施。"
"安全步行空间","汽车停靠太多，严重占用人行道。"
"照明与监控"," 希望学校家长等候区可以安装监控系统"
"车辆超速","有些家长车辆超速 希望添加限速标识"
"过街设施","道路拥挤 人行道拥挤"
"安全步行空间","建设安全步行空间，手动红绿灯"
"过街设施","接孩子的时候总是得过红路灯"
"过街设施","希望学校家长等候区可以安装监控系统"
"过街设施","1.      过街设施
（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
2.      安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
 
3.      占道停车
学校门外没有专属"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"照明与监控","希望学校家长等候区可以安装监控系统"
"安全步行空间","有些家长车速太快，希望在学校周边立上限速标志"
"车辆超速","有的车车速太快，行人比较危险，希望能有车速限制"
"安全步行空间","
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
"
"占道停车","学校门外没有专属停车区域，很多车辆乱停很麻烦"
"占道停车","接孩子的时候没有方便的停车位，极易造成拥堵和交通事故"
"过街设施","总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"照明与监控","    接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反"
"安全步行空间","道路交通安全法实施条例设施建设工程系不完善"
"安全步行空间","学生们放学时家长和学生集中在一起，这个时间段人流量特别大，需要进一步增设安全步行空间。"
"安全步行空间","多加点摄像头，完成基础设施基本建设"
"过街设施","1.      过街设施
 接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控","希望学校家长等候区可以安装监控系统"
"过街设施","  接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
"
"过街设施","

本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"自定义","红绿灯最好可以时间短一点，然后最好增设交警指挥。"
"照明与监控","1.      过街设施
（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
2.      安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
 
3.      占道停车
学校门外没有专属"
"照明与监控","这里有些街道比较偏暗，晚上出行不太方便，希望增加一些照明设施。如果这样的话，人们的出行会更加方便，尤其是晚上。"
"过街设施","有些家长车速过快  希望添加限速表识"
"过街设施","有些家长车速过快 建议添加限速表示"
"车辆超速","建议应该添加一个导航指南，适应那些路痴，或者刚到北京的人。"
"占道停车","车太多，开车特别费劲，每天提心吊胆，很烦"
"照明与监控","小区路窄，监控少，不能覆盖"
"过街设施","有些家长车速过快 建议添加限速标志"
"过街设施","希望建设可以更加方便快捷，更加人性化"
"过街设施","（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
2.      安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
 
3.      占道停车
学校门外没有专属"
"过街设施","设施很好，只是高峰路段容易出现拥堵现象，望增加管理"
"安全步行空间","本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
"
"照明与监控"," 照明与监控
希望学校家长等候区可以安装监控系统"
"车辆超速","第一：上学时电动车和自行车会在人行道上骑行严重存在隐患，有一天早上竟然一辆电动车碰到了一个上学的小男孩。
第二：道路两旁临时停车比较多，在放学时随便停放，孩子们过马路虽然带了小黄帽但并没有车辆礼让"
"过街设施","小区门口街道窄，因为车位不够，道路两边停满了车辆。"
"占道停车","看通行能力，有压力可以增设车道来缓解下"
"照明与监控"," 照明与监控
希望学校家长等候区可以安装监控系统
"
"过街设施","过街设施不太完善，完善一下就好了，蟹蟹"
"安全步行空间","附近没有十字路口，过马路不方便，希望架设过街天桥"
"安全步行空间","步行空间太少，能不能扩大一点，很不安全的。"
"车辆超速","多设几个摄像头，多设几个红绿灯加强交通管制"
"照明与监控"," 照明与监控
希望学校家长等候区可以安装监控系统"
"照明与监控","照明有一点暗，尤其是半夜的时候很容易看不见的啊"
"自定义","车辆拥堵，照明时间过段，希望相关部门能尽快解决。"
"安全步行空间","希望能加大对这种人多的地方的设施的加强力度～"
"照明与监控","监控太少了，路上发生什么都看不清，建议多安装监控"
"安全步行空间","希望能更加完善一下基础设施建设，让人民生活更好"
"车辆超速","应从重处罚车辆超速行为，这样效果才明显，同时对超速人员进行安全教育。"
"过街设施","对面的马路边上公交站牌坏了，需要修改"
"自定义","感觉这边的人多很杂，而且道路并不是应有的那么宽，希望治理一下啦"
"过街设施","
（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
"
"安全步行空间","感觉这的斑马线不太明显，希望重新涂一下，这样安全度会提高很多的啦。"
"过街设施","挺好的，过街设施比较完善，很喜欢这里"
"安全步行空间","感觉这的斑马线不太明显，希望重新涂一下，这样安全度会提高很多的啦。"
"照明与监控","照明不太好，监控太少，晚上非常害怕，。。。。。～～～。。"
"车辆超速","有些家长车速太快，希望在学校周边立上限速标识
 "
"车辆超速","有些家长车速太快，希望在学校周边立上限速标识
 "
"过街设施","这里的红绿灯有的时候不太好，所以希望可以改善一下。"
"占道停车","这边占道停车严重，希望交警部门关注一下"
"过街设施","过街设施有待完善，交通信号灯合理分配时间，建议加段防护栏。"
"车辆超速","有些家长车速太快，希望在学校周边立上限速标识
 "
"过街设施","开设人行道路;好走为学生安全"
"安全步行空间","本来应该属于行人的路却总是被别的车等占用"
"车辆超速","有些家长车速太快，希望在学校周边立上限速标识
 "
"照明与监控","有些家长车速太快，希望在学校周边立上限速标识
 "
"照明与监控","有些家长车速太快，希望在学校周边立上限速标识
 "
"照明与监控","希望学校家长等候区可以安装监控系统"
"安全步行空间","
占道停车
学校门外没有专属停车"
"照明与监控","在学校家长等候区安装监控系统"
"安全步行空间","建议加设安全安全步行空间"
"安全步行空间","占道停车
学校门外没有专属停车"
"安全步行空间","    占道停车
学校门外没有专属停车"
"自定义","觉得还是个惊世骇俗上辈子是不是精神还是今生今世半生不熟"
"过街设施","这里的路并不平坦 走路不看脚下都不安全"
"过街设施","这里的斑马线都快看不见了～觉得很危险诶！"
"照明与监控","路灯坏掉了！晚上这里路口有点危险⚠️ 需要注意！！"
"照明与监控","本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"过街设施","交通拥挤，车辆太多，不方便。"
"过街设施","交通拥挤，车辆太多，不方便"
"过街设施","交通拥挤，车辆太多，交通不便"
"过街设施","交通拥挤，车辆太多，不方便。"
"过街设施","交通拥挤，车辆太多，不方便。"
"照明与监控","希望学校为学生家长等候区安装监控系统"
"过街设施","   安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 "
"安全步行空间","占道停车
学校门外没有专属停车"
"照明与监控","
希望学校家长等候区可以安装监控系统"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"照明与监控","
学校门外没有专属停车区域，很多车辆乱停特别麻烦"
"照明与监控","学校门外没有专属停车区域，很多车辆乱停特别麻烦"
"车辆超速","有些家长车速太快，希望在学校周边立上限速标识
 "
"自定义","道路比较狭窄，学校门口交通路况比较复杂，老久小区多，车辆多，容易发生影响学生都混乱"
"过街设施","学校门外没有专属停车区，很多车辆乱停，特别麻烦"
"照明与监控","天气好冷，活路人穿的比较厚，走路反应相对迟钝，建议司机开车都注意点安全，减速行驶"
"安全步行空间","两个军区大院的出入口把小学的大门围在中间，人车混行，入学放学很危险"
"自定义","交通不好太堵了，需要以上部门完善一下，管制交通"
"安全步行空间","设置安全通道，增设人行路。"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"安全步行空间","私家车太多，堵道，交通不太方便"
"安全步行空间","没有学生到。学生走路不安全。"
"照明与监控","监控不全面有死角，建议多安几个"
"安全步行空间","道路拥挤，没有学生道建议铺设学生道"
"自定义","人车混走，建议人车分行"
"自定义","环境污染太严重，道路不顺畅，需要改善一下环境，疏通一下道路"
"自定义","环境操。道路拥堵。学生上学不安全。"
"自定义","没有学生道道路拥堵建议改善"
"过街设施","学校附近道路长期施工，行车路线不方便"
"安全步行空间","十字路口红绿灯太少，，"
"占道停车","车辆拥堵得很厉害，接放学时间车辆根本动不了"
"过街设施","希望可以建设一条人行道。"
"车辆超速","街道很脏， 而且路灯效果很差。学校门口小 放学时间段人特别多。"
"车辆超速","门头沟区城子小学 学校门口临近马路 容易出现交通事故！ "
"安全步行空间","道路拥挤，特别容易堵车，请有关部门维持好交通秩序！"
"安全步行空间","问题：自行车道被占，行走不便、路窄送娃车多人多。五环出入口车多流量大，堵车，也非常不安全。
解决建议：1合理规划拓宽路2给送娃爸妈设置合适停车的位置。"
"占道停车","道路两旁占道严重，容易造成拥挤和孩童安全问题。合理安排停车位，分散疏解最主要"
"过街设施","建议给非机动车留出一道通行，接送孩子上下学交通容易堵塞！"
"过街设施","车辆拥堵 需要上级改正。"
"照明与监控"," 监控摄像头照不好全部路面！需要改进！"
"安全步行空间","车太多，堵车。影响行人"
"占道停车","附近车辆拥堵 ，附近有工地。"
"照明与监控","冬天天黑的早 放学接孩子的时候灯光太差！"
"安全步行空间"," 车辆拥堵，人车不分行，建议改建学生道。"
"占道停车","路边停的车太多了，影响道路，实在拥挤！"
"车辆超速","车数多，车速太快，孩子安全不保证！"
"安全步行空间","灯光昏暗。环境不好。需要改进"
"过街设施","道路太拥挤 灯光太暗。"
"过街设施","注意安全，保证红绿灯行走畅通"
"过街设施","希望孩子们过马路的时候注意安全！"
"过街设施","注意安全，保证红绿灯行走通畅"
"自定义","还行吧，公交站不算乱，路线还可以"
"过街设施","注意安全，保证红绿灯行走畅通。注意安全注意安全注意安全"
"安全步行空间","道路拥挤很厉害，路边停了很多私家车。"
"自定义","车辆超速往往最不安全，特别高速，红绿灯容易出事故，希望家乡为了孩子，未来好好想想"
"占道停车","有个别不自觉的人乱停车乱放"
"过街设施","地面斑马线标识不清晰 路边有买小零食的商贩！"
"安全步行空间","学校门口路面不平，不法商贩太多 希望能够改"
"过街设施","道路设施注意安全          "
"照明与监控","希望学校家长等候区可以安装监控系统"
"照明与监控","学校门外没有专属停车区域，很多车辆乱停特别麻烦"
"照明与监控","希望学校家长等候区可以安装监控系统"
"占道停车","路窄不要两侧随便停车"
"自定义","车辆路过的时候慢行，可以设置路牌或专门人员指挥"
"安全步行空间","道路拥挤 可能是街道太小了 希望改进！"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"过街设施","（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
"
"自定义","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"过街设施","这里有好多车是左转去三环的，每天早上要等两三个灯才能转过去，而直行的车很少，建议加一条左转道，并延长左转灯时长"
"过街设施","这里西向东方向大部分车是直行或者右转的，之前的设计比较合理左边车道是直行和左转，右边车道是右转道，最近又改成了左边车道是左转，右边车道是直行道，现在的状况是左转道没有车，全都堵在右边车道，哪怕左边车道改成左转直行都可以也行"
"自定义","车辆超速，希望安装限速装置"
"照明与监控","学校门外没有专属停车区域，很多车辆乱停特别麻烦"
"过街设施","西向东方向左边车道只能左转，倒是基本是空的，而这个口基本都是直行或者右转，建议左边车道可直行和左转，中间车道直行，右边车道右转"
"自定义","车辆乱停，建议增设停车位"
"自定义","路面空间太狭窄，建议阔乱"
"自定义","乱停车现象严重，建议增设停车位"
"照明与监控","监控不全面！！！！！需要改善一下！加急加急"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应"
"安全步行空间","道路拥挤，没有学生道建议改一下一下学生道环境太差。"
"自定义","希望增加一些公共设施"
"自定义","希望多增加一些公共设施"
"过街设施","1.      过街设施
（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
"
"过街设施","接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
"
"安全步行空间","安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"安全步行空间","下课后道路比较拥挤，会有危险，车位也没有，希望改善乱停车现象"
"自定义","希望学校家长等候区可以安装监控系统"
"自定义","占道停车学校门外没有专属停车，区域很多车辆乱停，特别麻烦"
"安全步行空间","
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
 
3.      占道停车
学校门外没有专属"
"过街设施","道路狭窄  大车过多 应合理改善道路车辆安全"
"占道停车","全都是占道停车的现象！！"
